username, firstName, lastName, email, password, address, acctBal,activated
smei1, sunny1, mei, meisunny1992@hotmail.com, happyworld, Sky Street 1 Sky Avenue 1, 10000,1
smei2, sunny2, mei, bommer1@outlook.com, happyworld, Sky Street 1 Sky Avenue 1, 32545345,1
smei3, sunny3, mei, hsbilly1@hotmail.com, happyworld, Sky Street 1 Sky Avenue 1, 5435435,1
smei4, sunny4, mei, l3jiixyz@hotmail.com, happyworld, Sky Street 1 Sky Avenue 1, 34342,1
smei5, sunny5, mei, smei000@citymail.cuny.edu, happyworld, Sky Street 1 Sky Avenue 1, 213, 1
ichwan, Ichwan, Palongengi, ich9681@gmail.com, garbage123!, Sky Street 1 Sky Avenue 1, 2434,1
miggy, miguel, gonzales, Gejiw@mail.com, 12345678A, Sky Street 1 Sky Avenue 1, 1324324, 1
user0, great, person0, greatperson0@sky.net, skyislandscary, Sky Street 1 Sky Avenue 1, 100,1
user1, great, person1, greatperson1@sky.net, skyislandscary, Sky Street 2 Sky Avenue 2, 100,1
user2, great, person2, greatperson2@sky.net, skyislandscary, Sky Street 3 Sky Avenue 3, 100,1
user3, great, person3, greatperson3@sky.net, skyislandscary, Sky Street 4 Sky Avenue 4, 100,1
user4, great, person4, greatperson4@sky.net, skyislandscary, Sky Street 5 Sky Avenue 5, 100,1
